,_id,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
239,240,2369,天翔社區,6,4,中壢區,20240715205138,24.946126,121.258832,華美三路353號前人行道,Zhongli Dist.,Tian Xiang Station,"No.353, Huamei 3rd Rd.",2,1
240,241,2371,中科院一號門,50,21,龍潭區,20240715205127,24.847931,121.24607,中科段 1124地號空地,Longtan Dist.,NCSIST Gate 1,No.1124 of Jhongke Section,29,1
241,242,2372,中科院五號門,50,1,大溪區,20240715205121,24.867174,121.256142,石園路615號前方空地,Daxi Dist.,NCSIST Gate 5,"No.615, Shihyuan Rd.(opposite)",49,1
242,243,2373,中科院石園三村,30,14,龍潭區,20240715205128,24.870971,121.23472,武漢路100號對面停車格,Longtan Dist.,NCSIST Shihyuan 3rd village,"No.100, Wuhan Rd.(opposite)",15,1
243,244,2374,中科院石園一村,50,2,龍潭區,20240715205117,24.836824,121.241561,佳安段712地號,Longtan Dist.,NCSIST Shihyuan 1st village,No.712 of Jia&rsquo;an Section,45,1
244,245,2375,中科院石園二村,30,5,龍潭區,20240715205131,24.831178,121.237482,八德路1號旁停車場,Longtan Dist.,NCSIST Shihyuan 2nd village,"No.1, Bade Rd.",24,1
245,246,2380,中壢區殯葬服務中心,16,9,中壢區,20240715205116,24.976932,121.227558,培英路289號前人行道,Zhongli Dist.,"Office of Funeral Services,Zhongli","No.289, Peiying Rd.",7,1
246,247,2385,健行科技大學民設學院,12,2,中壢區,20240715205153,24.949331,121.22901,衡陽街93號對面停車場,Zhongli Dist.,College of Human Ecology and Design(UCH),"No.93, Hengyang St.(opposite)",10,1
247,248,2386,老街溪河岸廣場,8,1,中壢區,20240715205126,24.960272,121.2191,中美路二段192號旁廣場,Zhongli Dist.,Laojie Creek Riverside Square,"No.192, Sec. 2, Jhongmei Rd.",7,1
248,249,2387,中壢藝術館,14,10,中壢區,20240715205132,24.958227,121.227002,中美路31號對面人行道,Zhongli Dist.,Zhongli Arts Hall,"No.31, Zhongmei Rd. (opposite)",4,1
249,250,2390,復興路朝陽街口,10,2,桃園區,20240715205144,24.990843,121.31611,復興路51號旁停車場,Taoyuan Dist.,Fuxing Rd. &amp; Zhaoyang St. Intersection,"No.51, Fusing Rd.",8,1
250,251,2391,龍園公園,8,7,桃園區,20240715205142,24.986313,121.274887,中山路1216巷公園旁,Taoyuan Dist.,Ryuen Park,"Ln. 1216, Zhongshan Rd.",1,1
251,252,2392,八德國民運動中心,18,7,八德區,20240715205122,24.95981416,121.2940747,廣福路218號前人行道,Bade Dist.,Bade Civil Sports Center,"No. 218, Guangfu Rd.",11,1
252,253,2393,興仁市民活動中心,22,2,蘆竹區,20240715205144,25.01430727,121.2621253,興仁路330之1號前廣場,Luzhu Dist.,Xingren Civil Activity Center,"No. 330-1, Xingren Rd.",19,1
253,254,2394,同心公園,8,4,中壢區,20240715205118,25.00485076,121.2188854,青埔六街/青埔三街口(東南側),Zhongli Dist.,Tongxin Park,Qingbu 6th St./Qingbu 3rd St. intersection. (Southeast),4,1
254,255,2395,東埔公園,10,2,桃園區,20240715205137,25.005447,121.306878,正康二街/美光街口東北側,Taoyuan Dist.,Dongbu Park,Zhengkang 2nd St./Meiguang St. ,8,1
255,256,2398,青溪國中,10,6,桃園區,20240715205126,24.99752272,121.3201492,中山東路/中山東路126巷口(西南側),Taoyuan Dist.,Ching-Hsi Junior High School,"Zhongshan E Rd./Ln. 126, Zhongshan E Rd. (Southwest)",4,1
256,257,2399,海湖地景公園,22,6,蘆竹區,20240715205120,25.113297,121.252352,下海湖公車站東側空地,Luzhu Dist.,Haihu landscape Park,Xiahaihu bus station east side space,14,1
257,258,2403,大業路二段235巷口,8,6,桃園區,20240715205137,25.0211,121.3103,大業路二段252號旁,Taoyuan Dist.,"Ln. 235, Sec. 2, Daye Rd. Intersection","No. 252, Sec. 2, Daye Rd.",2,1
